application_id,applicant_id,employment_id,contact_info_id,next_of_kin_id,application_date,loan_type,loan_amount_requested_usd,loan_purpose,repayment_tenure_months
USLW-APP-20241029-280,Ap221958,Em221958,Ci221958,Nk221958,2024-10-29,Personal,44776.0,Debt Consolidation,25.0
USLW-APP-20241106-963,Ap771155,Em771155,Ci771155,Nk771155,2024-11-06,Small Business,366657.0,Equipment Purchase,47.0
USLW-APP-20240815-890,Ap231932,Em231932,Ci231932,Nk231932,2024-08-15,Small Business,62235.0,Expansion,25.0
USLW-APP-20250328-608,Ap465838,Em465838,Ci465838,Nk465838,2025-03-28,Personal,48734.0,Home Improvement,56.0
USLW-APP-20240802-408,Ap359178,Em359178,Ci359178,Nk359178,2024-08-02,Mortgage,445307.0,Refinance,335.0
USLW-APP-20240908-814,Ap744167,Em744167,Ci744167,Nk744167,2024-09-08,Small Business,179624.0,Startup Costs,79.0
USLW-APP-20250129-750,Ap210268,Em210268,Ci210268,Nk210268,2025-01-29,Personal,1900.0,Home Improvement,23.0
USLW-APP-20240426-908,Ap832180,Em832180,Ci832180,Nk832180,2024-04-26,Small Business,98833.0,Expansion,79.0
USLW-APP-20240720-379,Ap154886,Em154886,Ci154886,Nk154886,2024-07-20,Small Business,386383.0,Equipment Purchase,49.0
USLW-APP-20240727-366,Ap237337,Em237337,Ci237337,Nk237337,2024-07-27,Small Business,109661.0,Expansion,31.0
USLW-APP-20241110-500,Ap621430,Em621430,Ci621430,Nk621430,2024-11-10,Mortgage,142374.0,Refinance,200.0
USLW-APP-20240415-708,Ap187498,Em187498,Ci187498,Nk187498,2024-04-15,Mortgage,856258.0,Home Purchase,284.0
USLW-APP-20240723-276,Ap999159,Em999159,Ci999159,Nk999159,2024-07-23,Small Business,389256.0,Inventory,71.0
USLW-APP-20240406-854,Ap275203,Em275203,Ci275203,Nk275203,2024-04-06,Personal,27834.0,Other,22.0
USLW-APP-20241203-556,Ap291335,Em291335,Ci291335,Nk291335,2024-12-03,Small Business,304718.0,Working Capital,47.0
USLW-APP-20240602-906,Ap378167,Em378167,Ci378167,Nk378167,2024-06-02,Personal,20962.0,Education,27.0
USLW-APP-20241121-743,Ap141090,Em141090,Ci141090,Nk141090,2024-11-21,Auto,5569.0,Used Car Purchase,71.0
USLW-APP-20240924-333,Ap429365,Em429365,Ci429365,Nk429365,2024-09-24,Personal,20783.0,Home Improvement,30.0
USLW-APP-20250324-439,Ap164820,Em164820,Ci164820,Nk164820,2025-03-24,Mortgage,575763.0,Home Purchase,318.0
USLW-APP-20240606-112,Ap887201,Em887201,Ci887201,Nk887201,2024-06-06,Auto,71937.0,New Car Purchase,35.0
USLW-APP-20240626-646,Ap421879,Em421879,Ci421879,Nk421879,2024-06-26,Personal,38490.0,Education,36.0
USLW-APP-20241116-817,Ap818315,Em818315,Ci818315,Nk818315,2024-11-16,Personal,46041.0,Debt Consolidation,36.0
USLW-APP-20250106-998,Ap427069,Em427069,Ci427069,Nk427069,2025-01-06,Personal,12890.0,Education,51.0
USLW-APP-20241127-111,Ap876997,Em876997,Ci876997,Nk876997,2024-11-27,Personal,41130.0,Education,36.0
USLW-APP-20250301-860,Ap299041,Em299041,Ci299041,Nk299041,2025-03-01,Personal,3167.0,Other,17.0
USLW-APP-20240924-193,Ap891743,Em891743,Ci891743,Nk891743,2024-09-24,Small Business,275830.0,Equipment Purchase,84.0
USLW-APP-20240519-284,Ap203355,Em203355,Ci203355,Nk203355,2024-05-19,Personal,17121.0,Debt Consolidation,40.0
USLW-APP-20240718-990,Ap335796,Em335796,Ci335796,Nk335796,2024-07-18,Auto,19096.0,Refinance,24.0
USLW-APP-20241214-343,Ap314176,Em314176,Ci314176,Nk314176,2024-12-14,Personal,17325.0,Medical Expenses,36.0
USLW-APP-20241103-315,Ap284779,Em284779,Ci284779,Nk284779,2024-11-03,Small Business,394092.0,Startup Costs,70.0
USLW-APP-20250120-454,Ap447449,Em447449,Ci447449,Nk447449,2025-01-20,Personal,20039.0,Education,57.0
USLW-APP-20241203-771,Ap521909,Em521909,Ci521909,Nk521909,2024-12-03,Small Business,69818.0,Inventory,47.0
USLW-APP-20241128-866,Ap358795,Em358795,Ci358795,Nk358795,2024-11-28,Personal,43948.0,Medical Expenses,54.0
USLW-APP-20240628-775,Ap586232,Em586232,Ci586232,Nk586232,2024-06-28,Personal,17915.0,Other,52.0
USLW-APP-20241203-453,Ap600186,Em600186,Ci600186,Nk600186,2024-12-03,Small Business,119728.0,Inventory,55.0
USLW-APP-20250319-324,Ap256730,Em256730,Ci256730,Nk256730,2025-03-19,Personal,34082.0,Medical Expenses,45.0
USLW-APP-20240808-617,Ap970910,Em970910,Ci970910,Nk970910,2024-08-08,Personal,21850.0,Medical Expenses,46.0
USLW-APP-20240710-265,Ap484681,Em484681,Ci484681,Nk484681,2024-07-10,Small Business,380900.0,Expansion,32.0
USLW-APP-20250213-625,Ap249503,Em249503,Ci249503,Nk249503,2025-02-13,Personal,9987.0,Education,52.0
USLW-APP-20240531-131,Ap754811,Em754811,Ci754811,Nk754811,2024-05-31,Personal,39952.0,Debt Consolidation,18.0
USLW-APP-20241210-120,Ap627035,Em627035,Ci627035,Nk627035,2024-12-10,Personal,49584.0,Education,41.0
USLW-APP-20241020-771,Ap748143,Em748143,Ci748143,Nk748143,2024-10-20,Personal,44652.0,Other,13.0
USLW-APP-20250320-747,Ap552366,Em552366,Ci552366,Nk552366,2025-03-20,Mortgage,256583.0,Home Purchase,323.0
USLW-APP-20240603-323,Ap165725,Em165725,Ci165725,Nk165725,2024-06-03,Personal,3172.0,Vacation,54.0
USLW-APP-20241222-422,Ap229981,Em229981,Ci229981,Nk229981,2024-12-22,Personal,40865.0,Debt Consolidation,35.0
USLW-APP-20240810-866,Ap184654,Em184654,Ci184654,Nk184654,2024-08-10,Mortgage,714420.0,Home Purchase,316.0
USLW-APP-20240513-631,Ap691723,Em691723,Ci691723,Nk691723,2024-05-13,Personal,37461.0,Other,51.0
USLW-APP-20250113-545,Ap419030,Em419030,Ci419030,Nk419030,2025-01-13,Small Business,316028.0,Expansion,81.0
USLW-APP-20241019-587,Ap428947,Em428947,Ci428947,Nk428947,2024-10-19,Mortgage,386320.0,Home Purchase,286.0
USLW-APP-20250202-605,Ap655839,Em655839,Ci655839,Nk655839,2025-02-02,Mortgage,978768.0,Refinance,258.0
USLW-APP-20241011-701,Ap373538,Em373538,Ci373538,Nk373538,2024-10-11,Personal,42928.0,Debt Consolidation,21.0
USLW-APP-20240903-769,Ap431236,Em431236,Ci431236,Nk431236,2024-09-03,Small Business,440274.0,Startup Costs,80.0
USLW-APP-20240405-392,Ap628178,Em628178,Ci628178,Nk628178,2024-04-05,Mortgage,925643.0,Refinance,239.0
USLW-APP-20241211-894,Ap665894,Em665894,Ci665894,Nk665894,2024-12-11,Personal,19311.0,Home Improvement,32.0
USLW-APP-20241001-107,Ap589492,Em589492,Ci589492,Nk589492,2024-10-01,Mortgage,340867.0,Refinance,212.0
USLW-APP-20250307-917,Ap356840,Em356840,Ci356840,Nk356840,2025-03-07,Personal,11142.0,Debt Consolidation,52.0
USLW-APP-20240503-183,Ap573254,Em573254,Ci573254,Nk573254,2024-05-03,Small Business,178313.0,Inventory,50.0
USLW-APP-20240702-226,Ap449457,Em449457,Ci449457,Nk449457,2024-07-02,Small Business,411960.0,Working Capital,35.0
USLW-APP-20240525-547,Ap765987,Em765987,Ci765987,Nk765987,2024-05-25,Personal,44337.0,Vacation,40.0
USLW-APP-20241114-664,Ap370936,Em370936,Ci370936,Nk370936,2024-11-14,Personal,13306.0,Medical Expenses,30.0
USLW-APP-20250207-643,Ap339931,Em339931,Ci339931,Nk339931,2025-02-07,Small Business,225205.0,Inventory,39.0
USLW-APP-20241212-194,Ap339629,Em339629,Ci339629,Nk339629,2024-12-12,Small Business,485544.0,Inventory,26.0
USLW-APP-20250111-244,Ap305041,Em305041,Ci305041,Nk305041,2025-01-11,Mortgage,160791.0,Refinance,199.0
USLW-APP-20240717-162,Ap798361,Em798361,Ci798361,Nk798361,2024-07-17,Personal,8898.0,Debt Consolidation,59.0
USLW-APP-20241022-602,Ap831912,Em831912,Ci831912,Nk831912,2024-10-22,Mortgage,268106.0,Refinance,198.0
USLW-APP-20250323-537,Ap517113,Em517113,Ci517113,Nk517113,2025-03-23,Personal,3751.0,Debt Consolidation,26.0
USLW-APP-20250311-296,Ap168148,Em168148,Ci168148,Nk168148,2025-03-11,Personal,47597.0,Education,50.0
USLW-APP-20241115-255,Ap877089,Em877089,Ci877089,Nk877089,2024-11-15,Auto,62155.0,Used Car Purchase,34.0
